,Отметка времени,Сколько вам лет?,Какие у вас источники дохода?,"Клиентом какого банка вы являетесь (если нескольких, то укажите всех)?",Пользуетесь ли вы кредитной картой?,Сколько банковских карт вы имеете?
224,2020/03/25 6:11:21 PM GMT+3,больше,Зарплата;Другое,Сбербанк;Тинькофф,"Пользуюсь, планирую закрыть",4.0
225,2020/03/25 6:24:39 PM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Другой,"Пользуюсь, буду продолжать",1.0
226,2020/03/25 6:52:54 PM GMT+3,21-23,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.;Другое",Сбербанк;Тинькофф;Альфа-Банк,"Пользуюсь, буду продолжать",5.0
227,2020/03/25 7:14:38 PM GMT+3,больше,Зарплата,Райффайзен банк;Другой,"Не пользуюсь, не хочу открывать",2.0
228,2020/03/25 7:28:44 PM GMT+3,больше,Зарплата,Сбербанк;ВТБ,"Пользуюсь, буду продолжать",3.0
229,2020/03/25 7:30:18 PM GMT+3,,,,,
230,2020/03/25 7:45:01 PM GMT+3,меньше,"Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Не пользуюсь, не хочу открывать",1.0
231,2020/03/25 8:32:41 PM GMT+3,24-26,Стипендия;Зарплата,Сбербанк;Тинькофф;ВТБ;Райффайзен банк;Альфа-Банк,"Пользуюсь, буду продолжать",6.0
232,2020/03/25 9:06:27 PM GMT+3,21-23,"Стипендия;Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Не пользуюсь, не хочу открывать",3.0
233,2020/03/25 9:55:36 PM GMT+3,больше,Зарплата,Сбербанк;Альфа-Банк,"Не пользуюсь, не хочу открывать",3.0
234,2020/03/25 9:58:15 PM GMT+3,больше,Зарплата;Другое,Тинькофф;ВТБ,"Пользуюсь, буду продолжать",3.0
235,2020/03/26 1:54:50 AM GMT+3,21-23,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Другой,"Не пользуюсь, хочу открыть",2.0
236,2020/03/26 7:17:38 AM GMT+3,24-26,"Зарплата;Доход от инвестиций (вклады, ценные бумаги и т.д.)",Сбербанк;Тинькофф,"Пользуюсь, планирую закрыть",3.0
